Display Name,First Name,Last Name,Work E-mail,cloudLifecycleState,Identity ID,Is Manager,department,jobTitle,uid,Access Type,Access Source Name,Access Display Name,Access Description
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ACCESS_PROFILE,PRISM,PRISM ERP - User Access,Grants user access to the PRISM ERP system
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ACCESS_PROFILE,PRISM,PRISM ERP Employee Access,Grants user access to the PRISM ERP system
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ACCESS_PROFILE,Active Directory,Employee Base Account,Base Active Directory account for all active employees
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ROLE,,Current Employee Base Access,Base level Domain account for active employees
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ENTITLEMENT,PRISM,Super,
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ENTITLEMENT,Active Directory,globalExport,
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ENTITLEMENT,Active Directory,All_Users,
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ENTITLEMENT,Active Directory,SupplyChain,
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ENTITLEMENT,PRISM,Internal_Employee,
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ENTITLEMENT,PRISM,View_Reports,
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ENTITLEMENT,PRISM,User,
Aaron.Nichols,Aaron,Nichols,Aaron.Nichols@sailpointdemo.com,active,67f367783f3741a0adac7de63cce75cc,TRUE,Executive Management,Operations Manager,Aaron.Nichols,ENTITLEMENT,Active Directory,campusAccess,
